,게시글 ID,작성일,작성자,제목,본문
233,326754,2020.10.13. 13:04,김메리,자방추출후기,후후전전원래 살이 찌는 체질이 아니었는데 입맛이 점점 변하면서 살이 급격히 쪄서 53키로 까지 올랐어요겉 보이엔 날씬한 체형 이었지만 복부에만 살이 몰리면서 절대 빠질 기미가 안보이 더라구요ㅋㅋㅋ결국 의학의 힘을 빌려보자 해서 찾은게 지방추출주사에요팔은 600cc 복부는 러브핸들까지 1450cc 추출했어요~지금 약 2달 정도 시간 흘렀고 하고나서 식단도 진짜 빡세게 같이 관리 했습니다ㅠㅠㅠ (요즘 다시 먹고 있는게 함정현재46~47kg 유지 중이고 효과는 만족입니다.하는 김에 팔뚝도 같이 추출 했는데 확실히 팔이 여리여리해지니 요즘 거의 오프숄더만 입는 거 같아요ㅋㅋ흉터는 약 열심히 바르고 있습니다.직원분들 다들 너무 친절하셨고 특히 원장님이 오랜 경력 가지신 분이라 믿음이 갔어요!허벅지도 같이 해버릴 걸 그랬나 약간 아쉬워요ㅎㅎ처음 하고 나서는 움직이기 약 3일정도 좀 힘들었는데 일상생활에는 문제 없었고 한달정도 지나면 완전 편해집니당!!흡입 무서우신 분들 추출 추천드려요
234,326749,2020.10.13. 11:22,솜콩,역도선수팔뚝 뼈팔되가요!(지방추출주사 두달후찐후기),"8월 12일에팔뚝 지방추출주사시술하고딱 두달지났어요!!!지방 추출주사 시술전시술전 물론 살이 전체적으로 쪄있지만유독 팔뚝살이 진짜심각할정도로 쪄있는상태여서무슨옷을입어도 매우매우 덩치있어보였는데지방추출주사 시술전/한달후/두달후한달차까지는지방추출주사라간단하다고만 생각해서시술전후에 큰차이가없는거같아보였는데,두달차되니까 체구가 확줄어든게 느껴져요눈바디로도 다른사람같고우선 예전에 말랐을때도 가져보지못한 일자 팔라인을갖게됫어요 ㅜㅜ체중은 67 에서 58.5정도까지 감량되었고,팔뚝의둘레도 4cm정도 줄었는데,숫자는 잘모르겠고저렇게 사진의 지방추출주사시술 전후차이가저를 더자극하는거같아요!빠져보이지않나요??한달정도 더 빡세게관리해보려하는데요즘 맛있는게 너무많아서약처방을 받는데도입맛이돌려고해 고민이에요....ㅠㅠㅠ다들 다이어트중에식욕조절어떻게하시나요?? ㅜㅜ"
235,326692,2020.10.12. 23:46,잃어버린나의시간들,진심 ..광고말고요..,진심 광고말고 복부 지흡 잘하는병원 ..또 후관리랑 비용 자세한내용 알려주실분계신가요.ㅡㅡ 절실해요.. 정말.. 발품팔기에는 제가 너무 무식해서.. ㅠㅠ진심 광고 말고 도움주실분 .. 저 배만 아니면  이 우울한 삶도 없어질듯 싶어요
236,326682,2020.10.12. 20:31,빛나는04,"수요일 팔 무한람스 합니다. 당귀수산,멍크림 구매관련",교대숫자에 시술 받는데 근처 약국에서 항생제 처방받고 당귀수산 살 수 있나요? 멍크림도 같이 구매하고싶네요.택배대란이라 그냥 오프로 사려고요
237,326671,2020.10.12. 17:34,생각하는새댁,신촌 팻다운 후기,"저 지흡이 잘못돼서 허벅지 스트레스가 심했어요..ㅜㅜ결혼앞두고도 마음처럼 감량도안되구 고민고민하다 세심한라인잡아준다는 신촌ㅇㅅㄹㅈ가서 상담받고 급결정해서 팻다운주사했어요!ㅎㅎㅎㅎㅎㅎ이때만해도 정신없이 결정하고정신 차리고 보니 끝나있네요?허벅지가 전체적으로 부은거처럼 살쪄있고 라인도 울퉁불퉁ㅜㅜ 전에 저는  와이드팬츠나 롱치마로길게 입고 숨기고 다녔었어요 ^^;;;제가 지흡은 실패해봐서 주사의 장점 위주로 쓰자면1. 통증덜 아픕니다. ㅋㅋㅋ안아픈건 아니지만 병원에서 마취전부터 세심히 신경써주시고 겁내면 대화도 하면서 긴장풀어주셔서 생각보다 안아팠어요ㅎ매우 심한 근력운동 후심하게 근육통이 생겨 못 걸을 것 같은 그런 기분? 지흡보다 나아요ㅎ2. 멍멍은 피부타입따라 케바케지만 지흡땐 전체였다면 이번엔 군데군데고 빨리빠졌어요ㅎ 일주일이후부터 2-3주차 안에 회복됐어요3. 붓기붓기도 살성따라인데 전 잘부어서 아직 빠지는중이고 빠른분들은 한달에도 빠진대요(부럽다)그래도 지흡때보단 덜부어서 걷기편해요ㅎㅎ지흡보단 뭐든 덜심한기분이랄까요ㅎ너무 조급해 하지 마시고 기다리세요!4.가격당근 지흡보단 덜부담돼요, 대용량지흡이 전체에는 좋지만 일때문에 일상복귀가 편하고 컴플렉스부분집중은 팻다운이 효과적인것같아요ㅎ 아직 붓기는 덜빠져서 더 빠지면 다시 후기올릴게요!"
238,326662,2020.10.12. 16:39,차니마루맘,팔이랑 날개 브레이지어살은 지흡이구 이건 ..,팔뚝 날개 브레이지어밑살 지흡 하기로 결정 .예약하고 왔는데 제가 러브핸들에 뱃살도 만만치않아요 특히 핸들 ㅋㅋ안먹고 식단조절해도 핸들은 변하지않아요 그래서 복부랑 핸들이 고민인데 무한람스가 나을까요 지흡이 나을까요 요번에 팔 비용도 만만치 않아 지흡으로 결정했는데 배 핸들 람스비용도 만만치 않겠죠 ? 나이가 있어 살도 조금씩 쳐져가고 있어 비치겠어요 ㅋㅋ 담달 팔지흡후 배를 뭘로 할지 고민이에요 같이좀 고민해주세요 ㅠㅠ
239,326643,2020.10.12. 14:23,잃어버린나의시간들,람스는 어떡해...,지흡이야 전신마취?해서 지방을 빼내는걸로 알고있는데 람스?는 어떡해 하는건가요?
240,326631,2020.10.12. 10:11,휘엘,"강남아이유 에스핏, 닥터쁘띠 쏙주사 어때요??",강남아이유 에스핏과 닥터쁘띠 쏙주사 맞아보신분~~!최종으로 두군데고민중인데어떤가요??ㅜㅜ
241,326606,2020.10.11. 23:58,동동이,"팔 지방흡입주사로 팔둘레 -4cm, 6kg감량성공!!",진짜 뭘해도 안되는 팔뚝살 빼기..결국 지방흡입주사로 해결보고 왔습니다시술받은지는 두달 되어가고요지금 너무 만족하면서 하루하루 행복하게 지내는 중이에요~시술전 / 시술2주차 / 시술8주차시술전 / 시술1주차 / 시술8주차시술전 뭘 입어도 태 안나고 흘러넘치는 팔뚝살..지금은 시술 효과로 전이랑 비교 안되게 날씬한 팔 됐어요!시술후시술후시술 전 넓은 어깨와 팔뚝살로 맨투맨이나 후드티같은거 입으면 한 5키로는 더 쩌보이는 체형이였는데지금 시술덕에 살랑살랑한 라인이 나옵니다ㅠㅠ팔뚝살이 없어지니 확실히 덩치가 엄청 작아보여서 실제 빠진 체중보다 더 많이 빠진거 같이 보여요!요즘 화장실갈때마다 가늘어진 팔 한번이라도 더 볼려고 꼭 한번 들춰서 확인해봐요ㅋㅋㅋ시술로 자신감도 찾고 많이 행복해졌습니다ㅠㅠ!
242,326596,2020.10.11. 22:42,아이리스44,허벅지 그리고 팔 람스 후기,"허벅지 5개월 팔 6주차 무한람스 후기입니다.허벅지 치수는 65cm 에서 58 cm 로 감소햇습니다.팔 치수는 33cm 에서 28cm 감소햇습니다.몸무게는....20킬로 정도 감량했어요..정확히17킬로그램...20킬로 감량이 목표라.선의의 거짓말(?) 목표치를 썻습니다..말을하면 지킬꺼 같아서요....허벅지효과가 커서 팔도 했는데/팔이대박인거 같아요....우선 선이가늘어 보여서.... 사람이 가늘어 보어요.제가 남친만나도 급찐살이라... 남친만나서면 15킬로 그람이 들었거든요.....제일 가늘었을 때가 51킬로 그램이였는데........ 물론 남친만났을 때 몸무게는 아닙니다.ㅋㅋ남친만났을땐...56킬로 그람정도였어요..지금그래서.....54킬로 그람입니다.....사람들이 51킬로때 보다 말라보인다그래서..... 실은 놀라고 있어요......51킬로때는 어리기도 했고...하루만 굶어도...원래 몸무게로 돌아오는 신비한..ㅋㅋ능력이 있었는데나이드니까. 살만찌고... ㅡㅡ그래서 친구 추천으로 했거든요...시수전후 사진입니다..같은 야상인데...ㅜㅜ시술전엔.. 그냥... 남자네요옷도 이렇게 큰거만 입고,, 했네요...비교가 될지 모르겠으나...제가느끼기엔... 정말 꺼서 올려봐요시술 1개월차랑 5개월차 비교한거예요허벅지랑 팔이 너무 다르죠2개월차엔... 허벅지가 조금 빠지기 시작했어요...5개월이랑 비교하니까..진짜 많이 빠졌다 생각되더라구요....요세 다시 정체기라 200그람 늘었어요ㅠㅠㅠㅠㅠ명절에 안먹은거 이번 연휴에 몰아서 먹어서 그런가봐요...운동도 후관리도 열심히 해야할거 같아요#분당병원 #헬스장 #개인피티 #요가복 #숙련자용 #저탄고지 #곰곰바 #무한람스 #팔람스 #허벅지람스 #후관리 #카복시#유산소운동 #홈트 #레깅스 #탑 #비키니"
243,326506,2020.10.10. 19:36,foreveryoung,복부 무한람스 9주차! 옷 핏 변화🤭,복부 무한람스 9주차입니다☺️복부 둘레사이즈 -12.2cm 체중은 -10.5kg 감소했어욥🥰 먼저 눈바디체크!!!시술전 > 9주차시술전 > 9주차요즘 정체기라 의욕이 조금씩 떨어지고있지만...옷입을때마다 시술전과 너무도 다른 옷 핏에다시 멘탈을 잡고 열심히 하려고 노력중이에요ㅠ😭시술전 > 9주차시술전 > 9주차시술전 > 9주차같은 옷은 아니지만 같은 사이즈의 옷...너무 다른 핏이 ㅠㅠ 옷들아 미안했어😢��더 작은 사이즈로 달려가기위해서!!열씨믜 ㅠㅠ 다시 멘탈잡고 의욕 뿜뿜해야겠지요저처럼 정체기인 분들...같이 퐈이팅해요😭
244,326494,2020.10.10. 16:44,5월의신부예정,등무한람스 멍안드네요ㅎㅎ,이번주 수요일에 뒷볼록이랑 브라라인 뺐는데 멍이 안들어요 신기하네요ㅋㅋ그래도혹시몰라 당귀수산은 계속먹고있어요~ 근데 너무~ 간지러워요 긁어도되는건지모르겠어요~안될건 없겠죠..?여튼 팔이랑 달리 등은 용액새는것도 거의 없었고 오히려 등이 중력방향때문에 줄줄 흐를것같았는데 떼보니 점처럼 찍혀있어서..;;아직 용액이 체내에 많이 남아있는것같아요. 왜냐면 체중이 시술직후 지금까지 1.5키로정도 더나가요ㅠㅠ3일차라 아직 붓기가 있는데도 브라라인은 벌써 일자로 촥붙 느낌이라 등이 길어보이고;;ㅋㅋ뒷볼록은 아직 붓기때문에 볼록하긴해요. 근데 신기한건  뒷볼록때문에 못입었던 원피스입어봤더니 지금 입고나갈수있을정도로 뒷볼록이 티가안나요! 벗었을땐 티가 아직 퐉 나는데. 완전신기해요. 팔도 람스한달째라 전체적으로 등이 좁아졌어요! 근데 걸을때 어깨선부터 팔까지 둥그렇게 매직처럼 그려놓은듯한 그 느낌은 왠지 안없어질것같은 느낌이예요ㅠㅠ 근육도 한몫하는거 같네요ㅜㅜ 근육을 푸는 마사지를 받아야될까요 흑흑 내년에 드레스입어야하는데ㅜㅜ 
245,326460,2020.10.10. 10:46,타이거,와 미쳤어요!! 생생 전후사진 공개!!,벌써 11주차인데요 이번주는 일이 있어서 내원을 못했어요 ㅠㅠㅠ집에 체중계가 없어서 몸무게가 늘었는지 줄었는지 알수가 없어서 조마조마 하네요ㅎㅎㅎ;;확실히 사진을 찍어보니깐 빠진게 확 보이는것 같아요ㅎㅎㅎㅎ 적  팔 라인이 일자가 되었다니 감격이에요😭😭😭😭😭팔이 얇아지니깐 덩치도 작아보여요!!!옷을 입을때마다 겨드랑이랑 팔에 옷이 낑겨서 힘들고 쓸려서 힘들었는데 지금은 전혀 그런 느낌이 없어서 너무 좋아요😊😊👍👍
246,326393,2020.10.09. 15:31,빛나는04,수요일 팔뛰 람스 예약했는데 압박복 필요할까요?,"예전글 쭉 읽어보니 어떤분이 시술 집후 압박해주면 붓기나 멍이 현저하거 준다는 말이 있어서요.팔랑거리네요.당귀수산, 멍크림 또 뭐가 필요할까요?팔뚝후 일주일 뒤 복부 무한도 해요"
247,326380,2020.10.09. 09:31,hamy,"팔 무한람스, 뒷볼록 브라라인 한보틀 받고 왔어요","여기서 정보 많이 얻어서 저도 후기 올려요-!팔 무한, 뒤볼록, 브라라인은 한 보틀 씩 어제 뽑아냈어요.팔은..24보틀... 팔에서 이렇게 많이 나오기 흔치 않다던대전 역시 지방덩어리였어요.통증은 주사구멍 만드실때가 가장 아팠어요><팔은 괜찮았는데 브라라인(등)에 주사구멍 만드실 때는 따!!!악!!!끔 ㅡ.ㅜ용액 들어갈때 조금 따끔따끔 느낌도 있고, 지방 빼주실 때는 연약한 팔 밑이 좀 아팠어요.가장 힘들었던건 마스크 착용하고 2-3시간 엎드려있기...kf마스크 쓰고 갔는데 답답해서 시술내내 숨. .! 숨 편하게 쉬고 싶다..! 만 생각한 것 같아요. ㅜ.ㅜ 멍이 지금 보니까 슬슬 올라오려고 하더라구요멍크림 24시간 샤워 후에 바르라고 써져있지만 그냥 바로 발랐어요.^^하루도 안지났는데 팔이 날씬해보여요-!그러니까 나머지 몸이 상대적으로 퉁퉁해보여서 다른 부위 불만족 시작이네요. ㅎㅎ"
248,326364,2020.10.09. 00:52,살빼자94,부산! 팔뚝지흡주사 시술받은 후기예요ㅎㅎㅎ참고하셔용,오랜만에 후기쓰러 왔어요 벌써 팔뚝 시술한지 10주차라니..시간 너무너무 빠른것같아용 !!저는 유지어터 하다가 살을 쫌 뺐었는데망할..추석에게 의지가 꺽어져서 ^^..5일만에 4키로가.. 쪄버렸어요역시 의지가 제일 중요한것 같아요ㅜㅜㅜ지금부터 다시 식단조절 들어갑니다!군것질 그마안..저는 초콜렛을 너무너무 좋아하는데진짜 과자류가 살이 제일 많이 찌는것 같아요 ㅜㅜ근데 진짜 신기한데 살이 쪘는데팔뚝은 그대로에요..투자한만큼 역시..캬하지만 본인 관리가 제일 중요하다는걸 알기에저는 얼른 후기를남기고운동하러 가야겠어용^^...10주차된 제 팔뚝 보여드릴게용하기전 팔뚝 ㅎㅎ.아래사진
249,326322,2020.10.08. 17:51,푸른빛이나네,종아리알빼는 종아리퇴축술 1달 되었네요,"안녕하세요~ 내일부터 쉬네요! 저는 재택근무 때문에 올해는좀 특이하게 일을 한거 같아요. 제발 하루라도 빨리코로나가 종식된다던가 확실한 완치할수있는 치료제라도나와서 정상적인 출근해서 일하고, 지인들이랑 모임도 많이갖고, 그랬으면 좋겠어요 문득 올해 지금까지 돌아보면서 느낀게평범한 일상생활이 매우 좋은거구나..라는 생각부터 드네요 ㅠㅠ이번에 따로 많이 돌아다니지 못하기 때문에 그동안스트레스로 겪고 있었던, 종아리알 제거를 할수있는비절개종아리퇴축술 했어요~ 이제 1달차인데 개인적으로 매우 만족해서이렇게 시간내서 후기를 남겨봐요!Next image왼쪽은 전이고 오른쪽은 후에요 확실히 내외측 종아리알이 정리가되면서 다리라인도 정리가 되었어요!! 보톡스 꾸준하게 맞아온1인으로써.. 보톡스는 효과가 그렇게 있지 않네.. 하다가이번에 비절개종아리퇴축술은시간이 갈수록 효과가 눈에띄게 있더라구요.개인적으로 만족해서 요로케 후기를 작성해봤어요!Next image발뒤꿈치를 들면 확실히 알이 많이 없어졌다는게 느껴지죠?이렇게 사진으로만 봐도 ㅎㅎ 사실 이게 개인차이가 있지만1달도 안되서 효과를 보는 분들도있고 최대 6개월까지효과가 난다고해요 저는 그래도 1달에 이정도 효과면 엄청나게빨리 본거같아요. 다만 제친구도 같이 상담하고 시술하려고 했는데지금 지방이 많다고해서 체중감량을 먼저 진행하고 이거를 하라고하더라구요. 지금 해봤자 지방때문에 가려져 있어서 종아리알이줄었는지 안줄었는지 알수가 없다면서.. 참고로 비절개 종아리퇴축술은종아리 지방을 없애는게 아니라 종아리 알을 없애주는거에요!저도 달간격이든 해가주고 시간내서 이렇게 짧게짧게일기 써내려가는 형식으로 후기를 남겨보도록 하겠습니다 :D"
250,326299,2020.10.08. 15:08,빛나는04,람스 예약하고 왔어요.,근 반년을 고민하고 결국 예약했네요.진작 했으면 올 가을 예쁜 새옷 입을 수 있었는데..우선 팔뚝 다음주에 하고 다다음주에 복부하기로 했어요.팔뚝 하고 다음 날 약속 있는데 괜찮겠지요?
251,326294,2020.10.08. 13:36,Heynee,지흡 주사 하고 이번 명절엔 살쪘다는 잔소리 피했네요 ㅋㅋㅋㅋ(46cm-36cm),명절마다 듣던 살 언제뺄래 잔소리..ㅠ 진짜 스트레스 받았지만 넘나 사실이라 반박 못하고 혼자 스트레스 받았었어요 ㅠㅠ매 명절마다 주로 잔소리의 타겟이 되던 저의 마동석 팔뚝쓰...이번엔 팔뚝 살 많이 빠져서 잔소리 피했습니다!!가족들이 어떻게 뺐냐고 물어봤는데 주사 맞은건 비밀로 하고 운동했다고 햇어요 !! 다들 단기간에 대단하다며 ㅋㅋㅋㅋㅋ나중에 팔뚝동지인 사촌언니한테만 슬쩍 정보 공유해줬습니당!46cm에서 36cm로 10cm 줄었어요!늘씬해져서 이제 뱃살만 빼면 되겠다는 잔소리 아닌 잔소리?로 올해 저희집 핫 이슈는 제 반쪽 된 팔이었네용!!
252,326290,2020.10.08. 11:56,탄탄나나지지,저도 허벅지람스 2개월2주차!! 비포&에프터 효과어떤가요?ㅋ,허벅지람스 전 -> 람스 후저 허벅지람스 2달 하고 2주정도..?됐어용ㅋ뭉쳐있던 지방이라.. 여원장님이 엄청 섬세하게 가득가득 빼주셨는뎅.ㅋ확실히 정리된라인에 만족만족ㅋ막 드라마틱하게 빠진분들도 계시더라구요....???제가 그렇게까지 빠지진 않았지만저도 이정도면 효과 좋은거 아닌가용?ㅎㅎ혼자 만족중...^^;;드라마틱하게 빠지신분들 ㅠ대체 어떻게 관리하신건지 관리팁 쩜 공유해주세요~~~~~~!!!전후 스펙도 제발요...ㅎㅎ함께예뻐져요ㅠ
253,326230,2020.10.07. 17:20,콩순잉,지방분해주사가 메조주사 맞나요?,아님 다른건가요??
254,326177,2020.10.07. 10:08,망나뇽,람스 허안 양쪽 한보틀씩 효과있을까요?,NaN
255,326120,2020.10.06. 20:02,나히,지방흡입주사 두달 솔직후기!(+냉동지방파괴술후기),허벅지 시술받고 두달조금더지났어요!시술전 사진이랑 지금 비교해보는데. 이제 짧은옷 자신있게 입고다닐수있는데!!날씨가 너무 추워졌네요ㅜ그래서 여기라도 사진올려봐요라인변화 꽤 크죠?!!요즘은 어디 막 놀러가지도 못하고..요즘 집콕모드라 집에서 비교사진찍어봤네요ㅎ진짜 저는 솔직히 팔보다 허벅지가 더 만족이에요물론 팔도 만족인데 하비라 스트레스 받은거생각하면ㅜ 왜 이제 알았나싶고..내 다리도 이렇게 될수있구나 놀랍고그래요저는 또 허리에 비해 허벅지가 많이 두꺼워서 허벅지에 맞춰 옷사면 허리가 심각하게 떠서 수선해야했거든요ㅜ이제 수선안해도 되서 넘 좋아용 히히아무래도 허안승마만 진행해서 앞벅지가 아쉬워서 어제 냉동지방파괴술 받고왔어요!이름만듣고 엄청추운건가걱정했는데 관리부위에만 기계로 시술하는거더라구요차가운팩같은걸 부위에 얹고 그 위에 기계를 올려서 그 기계가 살을 쭈욱 잡아당겨서 처음 5분정도는 아픈데 조금 지나면 아프지않더라구요시술부위에 약간 멍이 올라왔구요시술 효과는 보통 1~2주 지나야 나타난다고해요앞벅지도 얼른 효과 나타나면 좋겠네요ㅎㅎ
256,326094,2020.10.06. 16:17,낭케,복부람스하고 큰변화는 언제쯤나오나용?,이제 3주차에요 어제 마지막 무한람스포함후관리끝났고체충4회랑 메조4회 추가로 끊고왔어요람스하고 식욕억제제먹으면서 식단(닭가슴살볶음밥+소고기 뭐이런거 빡세게는안함^^;)이랑 일주일에 3번정도 헬스장가서 런닝머신걷기 1시간했어욤2주차후관리 갔을때 몸무게 3.6키로 둘레 2cm 줄었는데마지막주에 추석연휴때문에 둘레는 그대로 몸무게는 1.3키로 늘었어요 흑근데 급찐급빠였는지 몸무게는 다시 돌아왔구용드라마틱한 후기들만 봐서인지 약간 초조하기도 하고 눈바디도 막그렇게 티가 많이나는게 아니라서ㅜ이제 3주차이긴한데 더 지나봐야 알까요?다른분들은 식단운동안해도 훅훅 빠지시던데 이게 식단해서 빠지는건지 람스덕분인지 ㅋㅋㅋㅋㅋ보통 언제부터 좀 큰변화가 나오셨는지 궁금해요!
257,326069,2020.10.06. 10:38,alddld,팔 지팻 후 3주차 사진!!,9월21일날 오후에 팔 지팻받았어요!왼쪽사진이 시술 직전 병원에서 찍었던 사진이고(오른팔)  오른쪽 저녁에 샤워하고 찍은 사진이에요!사진으로나 육안으로나 큰 차이가 없어보여서 읭?하는마음에 사진을 합쳐봤는데그때랑 완전 같은자세는 아니지만 어깨선~팔 위쪽라인으로 맞춰서 합쳐보니 그래도 꽤 줄었더라구요!예전에 팔이 조금 꼈던 블라우스도 전보다는 널널해졌어요ㅎㅎ시술 다음날부터 이정도로 멍 들었었는데 저는 많이 안든편이라고 하시더라구요.추석날 정도까진 노란멍이 있었는데 지금은 주사들어갔던 자국도 거의다 아물었고 멍도 없어요.딱딱한거 잡혀서 팔 위로 올릴때 불편하긴한데 일상생활하기도 매우 편해졌습니다2주지나고나서부터 운동가능하다고해서 오늘부터 유산소부터 시작하려구요!다음에 또 후기 가져오겠습니다ㅎ
258,326059,2020.10.06. 09:19,바먀,무한람스 총 몇보틀 뽑으셨어용??,저는 어제 뽑았는데 허안+승마해서 총 28버틀 뽑고왔어요!허안 15~16 승마 12~13정도 뽑으셨다는데..많이 뽑아주신건가요?_?
259,326041,2020.10.05. 23:41,람세스,팔 무한 람스 3주차 되었는데 이후에도 더 빠지나요,오히려 살은 쪘고 식이안해여... 언제까지 빠지나요체충하면 더 빠지나요 바본만 풀리나요지방분해주사하면 더 빠지나요 ㅠ
260,326018,2020.10.05. 21:32,5월의신부예정,팔람스 후 붕대유무 차이가 뭘까요?,"저는 팔 무한람스 후 붕대안감고 팔꿈치뚫어서 그부분 거즈 두껍게 덧데어 주셨는데 보니까 붕대감은분들도 계시더라구요~! 차이가 뭔지 아시는분 계실까요~?지방흡입수술은 아니더라도 그래도 뺀부분 압박을 더 해줘야 쳐짐이나 사이즈변화에 더 좋고 한게 있을지... 저는 팔무한 한달되었는데 팔둘레도 3cm감소하고 앞, 뒤 라인이 일자가 되서 만족하는데 옆라인이.. 눈바디로 차이가 안나네요ㅠㅠ뭔가 안에있는 혹을 하나 떼냈는데 피부가죽은 그대로 남아있는느낌? 후관리 계속 받으면서 다여트도 계속 할거지만 뭔가 느낌이 쎄~ 해서요ㅎㅎ혹시 람스도 압박의 유무가 큰 역할을 한다면 낼모레 등무한 하는데 그때 압박복입을까하네요.."
261,326012,2020.10.05. 20:16,5월의신부예정,팔무한람스 바본 질문이요~,9월에 팔무한람스하고 이제 약 한달차예요.양쪽 팔뚝 위에 패임현상은 시술직후부터있었는데 의사선생님이 시간 지나면 우리몸이 알아서 채워지려고 할거라고하셔서 안심이 좀 됐는데 바본은 아직 느질만한게 없다가 오늘아침 우연히 팔 위로쭉 스트레칭하다가 한쪽 겨드랑이를 목뒤쪽까지 쭉~ 들어올리면 샤프심같은 세로줄이 보이더라구요! 멀리서보면 조명에의해 더 잘보이는듯요!  이거 바본이겠죠? 근데 완전 얇고 딴딴한데 잘못만지면 뿌러질꺼같은 느낌 흑 이상해요ㅠㅠ혹시 바디 마시지건같은거 바본풀리는데 도움될까요~?
262,325993,2020.10.05. 17:56,람세스,람스후 팔 언제까지 빠지나요?? 이제 안빠졌으면 좋겠는데,뼈팔싫다그랬는데 넘 쫙쫙빠져요 ㅠㅠㅠㅠㅠㅠ언제까지 보통 빠지셨나요?몸무게는 오히려 쪘거든요 ㅠ살은 나중에 뺄려구요. 팔 얇아질까봐요
263,325923,2020.10.04. 20:42,체리듕07,종아리,다들 종아리보톡스하시나용?아니면 종아리지흡?종아리 비절개퇴축술하시나요...?보톡스 진짜효과가있나요..?허엉무지흡하니까 종아리가...ㅠ38cm로 두꺼워서 34까지 만들고싶거든요...ㅠ
264,325920,2020.10.04. 20:04,동동이,일산 다이어트 팔 시술 팔뚝살 폭파 성공,시술로 팔뚝살 폭파하는데 성공했습니다좀 더 일찍 시술할껄 후회중이에요..시술전 / 시술2주차 / 시술7주차시술전 / 시술2주차 / 시술7주차시술 전 스펙 172/70 팔 둘레 33.9cm시술 후 지금 172/64 팔둘레는 이번주 병원이 추석연휴로 휴진이라 못쟀어요!!저번주에 쟀을때는 31.4나왔구요 아마 저번주보다 더 줄었을거 같아요!시술 직후 식이랑 운동 꾸준히 하다가 이번주 추석이라 좀 맘 놔서 정체기에요ㅠㅠ 내일부터 다시 운동하고 식이 들어갑니다ㅠㅠ시술 7주차 일상생활 사진에서도 팔 가늘어진거 완전 보이는 중이에요!!다음주부터 다시 후관리도 열심히 받으러 다녀야겠어요!!
265,325879,2020.10.04. 02:30,마아니히또,고정용 밀착포인 테이핑자국? 있으신 분 계신가요,시술 직후에 거즈 고정하기위해서 밀착포 붙이자나요그 자국이 화상입은 것 마냥 생겼어요ㅠ빨갛거나 그렇진 않고 약간 어둡고 좀 티나게요ㅠ1주차때 발견한건데ㅠ혹시몰라 시술전 시술직후 사진 보니까 시술후에 생긴거더라구요 2주차가 다돼가도 안 없어지네요ㅠ혹시 이런 자국 생기셨던 분 계신가요?ㅠ
266,325838,2020.10.03. 17:22,yula4,50일차,상: 람스 전하: 약 50일 후허안승마/앞벅지무릎 40보틀-4kg 현재: 158/49kg황금기 3개월을 기다리는 중인데시간이 흐를수록 초조함은 커지고작은 변화에 만족하기에는흉터가 넘 거슬리네요제발 더 빠지길...ㅠㅠ
267,325832,2020.10.03. 13:40,출근극혐ㅠ,람스 하고 지흡 수술하신분들 계신가요?,NaN
268,325737,2020.10.02. 01:55,낭케,람스후관리 일주일지나도 괜찮나요?,제가 주기적으로 월요일마다 후관리를 받았는데 다음주월요일이 마지막후관리에요근데 그날 일이생겨서ㅠ 바꾸려고하는데수요일로 미뤄도 괜찮을까요?그럼 간격이 10일?차이나는데괜찮을까요?만약 바꾼다면 그이후로는 수요일마다 받아야되는건지다시 월요일로 땡겨서 받아도될지궁금해요
269,325736,2020.10.02. 01:45,낭케,목표체중이 얼마안남았었는데...,이번주 월요일에 병원가서 2주차 후관리 받았을때 목표체중 0.4kg 남았다고 화이팅하라고 쌤들이 그래서 좋아 해보는거야!했는데추석2일차...잡채 전 등등 먹고 집에와서 몸무게 재보니 1.5kg늘었어욬ㅋㅋㅋㅋ이게 이럴수있나요거기다 내일부터 3일동안은 남자친구랑 놀러가기로했는데 또 먹어버리면...다음주 월요일에 3주차 후관리받으러가는데 목표체중을 앞에두고 더 쪄서오면 대체 어떤반응일지..ㅋㅋㅋㅋㄱㅋㅋ어쩌죠 저...?
